date,total
2026-01-01,4145.366499497464
2026-01-02,4545.033661323467
2026-01-03,4223.650023252139
2026-01-04,4226.558501765101
2026-01-05,3615.7872551067926
2026-01-06,3695.464489531671
2026-01-07,3878.77600314838
2026-01-08,4152.604130294414
2026-01-09,4568.5075133442915
2026-01-10,4295.044863921405
2026-01-11,4219.3256759227625
2026-01-12,3724.2410864671247
2026-01-13,3700.5181309962804
2026-01-14,3910.253966657262
2026-01-15,4166.674554766625
2026-01-16,4538.975943098052
2026-01-17,4297.9603471362225
2026-01-18,4216.895837260488
2026-01-19,3749.2665339120663
2026-01-20,3737.3484320989523
2026-01-21,3915.8990933371574
2026-01-22,4164.59800064348
2026-01-23,4519.478409470716
2026-01-24,4321.664690280662
2026-01-25,4220.542848562456
2026-01-26,3806.333106961433
2026-01-27,3776.9255763044307
2026-01-28,3945.850316915848
2026-01-29,4189.734626048967
2026-01-30,4518.895310276783
2026-01-31,4352.365215187841
2026-02-01,4245.2667911331755
2026-02-02,3863.3965384574444
2026-02-03,3825.731047769515
2026-02-04,3982.326115986508
2026-02-05,4217.209437531561
2026-02-06,4523.660987737012
2026-02-07,4386.53639937994
2026-02-08,4272.671595429962
2026-02-09,3923.4089627007766
2026-02-10,3877.6365700336414
2026-02-11,4024.00985851499
2026-02-12,4252.039211368172
2026-02-13,4538.1899446611005
2026-02-14,4425.52801692076
2026-02-15,4309.61505350374
2026-02-16,3988.053089581386
2026-02-17,3936.4219287253372
2026-02-18,4073.7243400387047
2026-02-19,4294.464503511237
2026-02-20,4562.081619565171
2026-02-21,4470.635434468732
2026-02-22,4353.628310013793
2026-02-23,4056.8478326651475
2026-02-24,4000.6736930916154
2026-02-25,4129.387476115127
2026-02-26,4343.013778509265
2026-02-27,4594.028205143592
2026-02-28,4520.489077318596
2026-03-01,4404.033354280178
2026-03-02,4129.355775100437
2026-03-03,4069.9821024335556
2026-03-04,4190.948743430836
2026-03-05,4397.670976494937
2026-03-06,4633.7722508903935
2026-03-07,4575.62483613991
2026-03-08,4460.681327696524
2026-03-09,4205.827717053347
2026-03-10,4144.389273698796
2026-03-11,4258.254936155468
2026-03-12,4458.259646224564
2026-03-13,4680.953256752202
2026-03-14,4635.874856283775
2026-03-15,4523.185034629027
2026-03-16,4286.139581750638
2026-03-17,4223.5449334599925
2026-03-18,4330.952403851412
2026-03-19,4524.469465173164
2026-03-20,4735.06491443485
2026-03-21,4701.124621022056
2026-03-22,4591.2182951004725
2026-03-23,4370.22917109138
2026-03-24,4307.260167661569
2026-03-25,4408.832218311823
2026-03-26,4596.12500362219
2026-03-27,4795.79697001135
2026-03-28,4771.319803618808
2026-03-29,4664.559966374991
2026-03-30,4458.086647792201
2026-03-31,4395.377679552195
2026-04-01,4491.702230500423
2026-04-02,4673.0545937474435
2026-04-03,4862.829168842578
2026-04-04,4846.373117669047
2026-04-05,4742.987055529116
2026-04-06,4549.667782638986
2026-04-07,4487.739057963981
2026-04-08,4579.373581511865
2026-04-09,4755.086218113793
2026-04-10,4935.87495705123
2026-04-11,4926.197003173669
2026-04-12,4826.307744790141
2026-04-13,4644.939949325953
2026-04-14,4584.215613323449
2026-04-15,4671.6865373721685
2026-04-16,4842.073857645062
2026-04-17,5014.684820136494
2026-04-18,5010.711442892172
2026-04-19,4914.358314902303
2026-04-20,4743.873856543276
2026-04-21,4684.69670933375
2026-04-22,4768.498260306102
2026-04-23,4933.881113512993
2026-04-24,5099.032502165659
2026-04-25,5099.835130833151
2026-04-26,5006.991824541472
2026-04-27,4846.439778682399
2026-04-28,4789.085485278763
2026-04-29,4869.680463295554
2026-04-30,5030.382908682905
2026-05-01,5188.714721828661
2026-05-02,5193.489463354907
2026-05-03,5104.079407231795
2026-05-04,4952.610801718352
2026-05-05,4897.299623815745
2026-05-06,4975.120464646248
2026-05-07,5131.465931730379
2026-05-08,5283.549437806681
2026-05-09,5291.59927463631
2026-05-10,5205.507611245484
2026-05-11,5062.362399384141
2026-05-12,5009.269003750194
2026-05-13,5084.718832363744
2026-05-14,5237.027042901065
2026-05-15,5383.372819710756
2026-05-16,5394.092521969875
2026-05-17,5311.176180903165
2026-05-18,5175.672393925734
2026-05-19,5124.934283020582
2026-05-20,5198.388410298023
2026-05-21,5346.972923880732
2026-05-22,5488.037718710946
2026-05-23,5500.900982384663
2026-05-24,5420.99685190327
2026-05-25,5292.521409359615
2026-05-26,5244.246037461764
2026-05-27,5316.053497372943
2026-05-28,5461.219675103532
2026-05-29,5597.412147202731
2026-05-30,5611.96053784343
2026-05-31,5534.892074353458
2026-06-01,5412.892997331968
2026-06-02,5367.163768758628
2026-06-03,5437.648917364237
2026-06-04,5579.692289527906
2026-06-05,5711.37787224304
2026-06-06,5727.211388918417
2026-06-07,5652.793959420886
2026-06-08,5536.773787481186
2026-06-09,5493.655137980748
